IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
1   , 1    , First Come First Serve       , 0.013404825737265416, 46.8                 , 78              , 0.9517426273458445, 433.8               , 600.2
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
1   , 1    , Round Robin                  , 0.013404825737265416, 17.4                 , 203             , 0.9517426273458445, 434.6               , 580.8
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
1   , 1    , Shortest Job First           , 0.013477088948787063, 122.4                , 78              , 0.9568733153638814, 320.5               , 458.5
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
1   , 1    , Shortest Remaining Time First, 0.013227513227513227, 121.4                , 83              , 0.9391534391534392, 311.8               , 446.9
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
1   , 1    , Priority                     , 0.012642225031605562, 272.8                , 78              , 0.8975979772439949, 337.5               , 477.3
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
2   , 1    , First Come First Serve       , 0.013477088948787063, 46.8                 , 78              , 0.9568733153638814, 482.2               , 603.4
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
2   , 1    , Round Robin                  , 0.013404825737265416, 17.4                 , 203             , 0.9517426273458445, 470.4               , 591.6
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
2   , 1    , Shortest Job First           , 0.013513513513513514, 130.7                , 78              , 0.9594594594594594, 322.5               , 442.2
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
2   , 1    , Shortest Remaining Time First, 0.013227513227513227, 123.5                , 83              , 0.9391534391534392, 324.8               , 444.9
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
2   , 1    , Priority                     , 0.012642225031605562, 294.1                , 78              , 0.8975979772439949, 349.0               , 468.7
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
1   , 2    , First Come First Serve       , 0.019230769230769232, 20.3                 , 78              , 0.5692307692307692, 75.6                , 365.0
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
1   , 2    , Round Robin                  , 0.018867924528301886, 7.7                  , 203             , 0.530188679245283 , 70.6                , 366.1
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
1   , 2    , Shortest Job First           , 0.019417475728155338, 29.3                 , 78              , 0.5902912621359223, 48.0                , 325.8
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
1   , 2    , Shortest Remaining Time First, 0.019417475728155338, 27.7                 , 79              , 0.596116504854369 , 45.8                , 340.4
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
1   , 2    , Priority                     , 0.018148820326678767, 57.5                 , 78              , 0.4900181488203267, 64.3                , 392.4
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
2   , 2    , First Come First Serve       , 0.025               , 20.3                 , 78              , 0.8675            , 163.9               , 300.8
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
2   , 2    , Round Robin                  , 0.024875621890547265, 7.7                  , 203             , 0.8557213930348259, 161.2               , 294.3
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
2   , 2    , Shortest Job First           , 0.022573363431151242, 52.2                 , 78              , 0.7923250564334086, 123.2               , 247.2
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
2   , 2    , Shortest Remaining Time First, 0.023094688221709007, 51.1                 , 95              , 0.7806004618937644, 126.5               , 250.9
IO's, CPU's, Scheduler                    , Throughput          , Average Response Time, Context Switches, CPU Utilization   , Average Waiting Time, Average Turnaround Time
2   , 2    , Priority                     , 0.02481389578163772 , 103.0                , 78              , 0.8163771712158809, 140.2               , 269.9
