Process File: 14,,,,,,,,
Processes: 25,,,,,,,,
Device Load: io.,,,,,,,,
Arrival Times: batch,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.02976,53.36,167,0.94,511.16,611.04
2,1,First Come First Serve,0.03117,53.60,167,0.98,535.84,593.92
1,2,First Come First Serve,0.03406,23.48,167,0.43,77.00,507.84
2,2,First Come First Serve,0.05470,23.88,167,0.88,224.84,294.04
1,1,Round Robin,0.02941,20.08,422,0.93,414.04,516.68
1,1,Round Robin,0.02867,39.44,215,0.90,404.76,529.88
1,1,Round Robin,0.02894,48.80,178,0.91,464.96,583.92
2,1,Round Robin,0.03090,20.08,422,0.97,438.08,497.36
2,1,Round Robin,0.03064,39.68,215,0.97,446.40,504.00
2,1,Round Robin,0.03106,49.04,178,0.98,504.00,562.20
1,2,Round Robin,0.03392,8.12,422,0.39,83.08,457.04
1,2,Round Robin,0.03429,16.76,215,0.42,85.68,459.88
1,2,Round Robin,0.03425,21.40,178,0.43,81.20,490.12
2,2,Round Robin,0.05219,8.48,422,0.80,179.12,253.96
2,2,Round Robin,0.05274,17.12,215,0.81,175.64,260.08
2,2,Round Robin,0.05400,21.92,178,0.84,202.08,285.04
1,1,Shortest Job First,0.02812,144.24,167,0.88,241.00,333.40
2,1,Shortest Job First,0.02809,149.36,167,0.88,261.04,317.52
1,2,Shortest Job First,0.03415,22.56,167,0.43,42.32,418.00
2,2,Shortest Job First,0.04655,56.36,167,0.68,99.92,173.08
1,1,Shortest Remaining Time First,0.02847,143.68,185,0.89,233.60,336.16
2,1,Shortest Remaining Time First,0.02890,155.80,188,0.91,256.64,313.36
1,2,Shortest Remaining Time First,0.03415,25.32,196,0.45,40.48,413.40
2,2,Shortest Remaining Time First,0.04690,57.00,196,0.70,99.76,173.92
1,1,Priority,0.03071,360.20,167,0.97,416.68,531.04
2,1,Priority,0.03149,387.64,167,0.99,442.04,499.32
1,2,Priority,0.03392,95.84,167,0.43,108.76,532.48
2,2,Priority,0.05855,147.56,167,0.94,176.84,273.84
