Process File: 15,,,,,,,,
Processes: 25,,,,,,,,
Device Load: io.,,,,,,,,
Arrival Times: hybrid,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.02884,46.44,168,0.94,317.24,583.80
2,1,First Come First Serve,0.03053,52.20,168,1.00,474.76,543.60
1,2,First Come First Serve,0.03064,3.20,168,0.37,16.16,457.60
2,2,First Come First Serve,0.05051,15.80,168,0.77,102.44,219.60
1,1,Round Robin,0.02759,17.68,452,0.90,300.48,540.16
1,1,Round Robin,0.02818,34.28,229,0.92,340.56,532.36
1,1,Round Robin,0.02844,42.44,181,0.93,318.16,576.76
2,1,Round Robin,0.03027,19.04,452,0.99,401.16,470.76
2,1,Round Robin,0.03053,37.76,229,1.00,415.40,482.56
2,1,Round Robin,0.03049,47.88,181,1.00,466.36,535.52
1,2,Round Robin,0.03064,1.12,452,0.35,16.88,459.28
1,2,Round Robin,0.03064,2.48,229,0.35,15.76,460.04
1,2,Round Robin,0.03064,2.96,181,0.37,13.16,458.20
2,2,Round Robin,0.05000,4.24,452,0.71,78.32,217.24
2,2,Round Robin,0.05030,10.04,229,0.76,84.04,212.36
2,2,Round Robin,0.04990,13.64,181,0.76,82.48,223.76
1,1,Shortest Job First,0.03030,61.80,168,0.99,170.00,382.24
2,1,Shortest Job First,0.03023,78.96,168,0.99,221.36,286.04
1,2,Shortest Job First,0.03064,2.28,168,0.37,9.28,460.24
2,2,Shortest Job First,0.05400,21.56,168,0.86,60.12,146.00
1,1,Shortest Remaining Time First,0.02980,61.28,190,0.97,174.76,374.56
2,1,Shortest Remaining Time First,0.02955,92.48,185,0.97,211.48,276.72
1,2,Shortest Remaining Time First,0.03064,42.36,195,0.41,8.40,459.68
2,2,Shortest Remaining Time First,0.05423,19.12,217,0.84,52.72,145.56
1,1,Priority,0.02969,223.56,168,0.97,332.96,494.56
2,1,Priority,0.03038,278.72,168,0.99,392.16,460.36
1,2,Priority,0.03064,8.84,168,0.36,22.08,476.00
2,2,Priority,0.05531,45.40,168,0.88,104.44,224.64
