Process File: 23,,,,,,,,
Processes: 25,,,,,,,,
Device Load: net.,,,,,,,,
Arrival Times: batch,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.02234,53.96,182,0.92,596.48,831.04
2,1,First Come First Serve,0.02379,55.56,182,0.98,722.00,806.96
1,2,First Come First Serve,0.02246,22.60,182,0.31,88.56,743.92
2,2,First Come First Serve,0.04209,23.44,182,0.87,256.88,408.48
1,1,Round Robin,0.02117,21.12,552,0.87,501.88,823.60
1,1,Round Robin,0.02106,44.28,277,0.87,469.52,836.04
1,1,Round Robin,0.02182,53.52,192,0.90,539.80,832.44
2,1,Round Robin,0.02361,21.12,552,0.97,665.84,757.08
2,1,Round Robin,0.02370,44.28,277,0.98,667.68,766.96
2,1,Round Robin,0.02370,55.12,192,0.98,695.64,789.36
1,2,Round Robin,0.02244,8.04,552,0.27,108.88,737.12
1,2,Round Robin,0.02246,18.04,277,0.30,101.48,726.56
1,2,Round Robin,0.02246,22.40,192,0.29,96.52,739.32
2,2,Round Robin,0.04000,8.20,552,0.78,200.12,415.96
2,2,Round Robin,0.04039,18.52,277,0.78,194.56,413.40
2,2,Round Robin,0.04098,23.20,192,0.82,223.68,411.00
1,1,Shortest Job First,0.02189,175.64,182,0.90,353.60,589.60
2,1,Shortest Job First,0.02370,199.92,182,0.98,423.08,507.12
1,2,Shortest Job First,0.02248,44.96,182,0.31,74.00,697.84
2,2,Shortest Job First,0.04006,73.80,182,0.80,160.20,304.96
1,1,Shortest Remaining Time First,0.02174,169.60,195,0.90,343.96,594.32
2,1,Shortest Remaining Time First,0.02385,190.04,195,0.98,426.84,510.48
1,2,Shortest Remaining Time First,0.02248,45.24,198,0.28,71.20,689.40
2,2,Shortest Remaining Time First,0.03937,74.84,215,0.80,155.96,302.92
1,1,Priority,0.02180,352.96,182,0.90,416.20,704.68
2,1,Priority,0.02287,421.60,182,0.94,503.12,588.36
1,2,Priority,0.02244,78.32,182,0.31,97.44,740.80
2,2,Priority,0.04139,139.96,182,0.84,186.84,367.44
