Process File: 33,,,,,,,,
Processes: 25,,,,,,,,
Device Load: cpu.,,,,,,,,
Arrival Times: zero,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01390,88.92,191,0.73,570.96,1306.96
1,1,Round Robin,0.01328,45.72,406,0.70,491.16,1332.44
1,1,Shortest Job First,0.01416,204.80,191,0.74,353.04,1111.48
1,1,Shortest Remaining Time First,0.01416,196.32,211,0.74,361.84,1111.64
1,1,Priority,0.01412,359.60,191,0.74,381.24,1105.88
2,1,First Come First Serve,0.01901,88.92,191,1.00,972.04,1104.80
2,1,Round Robin,0.01877,45.72,406,0.99,935.44,1078.28
2,1,Shortest Job First,0.01863,298.24,191,0.98,611.68,738.88
2,1,Shortest Remaining Time First,0.01842,280.68,214,0.97,612.60,743.56
2,1,Priority,0.01885,550.48,191,0.99,612.56,747.16
1,2,First Come First Serve,0.01404,42.00,191,0.20,129.04,1269.12
1,2,Round Robin,0.01380,21.88,406,0.16,138.72,1282.88
1,2,Shortest Job First,0.01420,67.64,191,0.20,98.00,1213.92
1,2,Shortest Remaining Time First,0.01419,67.36,206,0.19,100.04,1204.56
1,2,Priority,0.01412,119.12,191,0.20,121.84,1216.80
2,2,First Come First Serve,0.02709,42.00,191,0.63,244.76,664.88
2,2,Round Robin,0.02599,21.88,406,0.57,217.68,677.28
2,2,Shortest Job First,0.02781,94.60,191,0.66,164.32,567.16
2,2,Shortest Remaining Time First,0.02772,88.88,222,0.67,163.08,570.88
2,2,Priority,0.02709,166.44,191,0.61,182.64,576.04
