Process File: 34,,,,,,,,
Processes: 50,,,,,,,,
Device Load: dl.,,,,,,,,
Arrival Times: flow,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01562,205.20,404,0.99,2160.12,2353.22
2,1,First Come First Serve,0.01560,208.88,404,0.99,2233.92,2350.70
1,2,First Come First Serve,0.01878,58.58,404,0.47,246.00,1481.56
2,2,First Come First Serve,0.03045,83.92,404,0.97,853.50,1004.70
1,1,Round Robin,0.01561,42.74,1691,0.99,2037.32,2324.64
1,1,Round Robin,0.01564,96.02,791,1.00,2041.90,2336.24
1,1,Round Robin,0.01560,148.04,499,0.99,2132.36,2398.72
2,1,Round Robin,0.01564,43.54,1691,1.00,2198.30,2319.00
2,1,Round Robin,0.01564,98.48,791,1.00,2200.20,2327.02
2,1,Round Robin,0.01564,156.68,499,1.00,2261.20,2384.02
1,2,Round Robin,0.01874,13.90,1691,0.44,274.24,1506.94
1,2,Round Robin,0.01873,31.06,791,0.44,261.76,1500.70
1,2,Round Robin,0.01870,48.30,499,0.48,250.64,1510.94
2,2,Round Robin,0.03079,18.04,1691,0.97,827.66,1000.74
2,2,Round Robin,0.03064,40.92,791,0.97,821.60,1004.86
2,2,Round Robin,0.03053,65.34,499,0.97,850.50,1020.02
1,1,Shortest Job First,0.01570,580.32,404,1.00,1335.36,1577.08
2,1,Shortest Job First,0.01570,597.90,404,1.00,1411.00,1528.04
1,2,Shortest Job First,0.01875,63.96,404,0.48,170.06,1519.76
2,2,Shortest Job First,0.03066,181.78,404,0.97,550.58,762.30
1,1,Shortest Remaining Time First,0.01564,547.60,440,1.00,1357.60,1620.88
2,1,Shortest Remaining Time First,0.01561,587.76,435,0.99,1447.48,1564.18
1,2,Shortest Remaining Time First,0.01878,72.76,456,0.47,162.80,1525.82
2,2,Shortest Remaining Time First,0.03028,181.96,480,0.95,557.98,771.08
1,1,Priority,0.01558,1159.96,404,0.99,1289.48,1514.92
2,1,Priority,0.01555,1228.24,404,0.99,1339.46,1458.16
1,2,Priority,0.01873,163.88,404,0.46,196.24,1426.58
2,2,Priority,0.03019,437.66,404,0.94,514.70,678.72
