Process File: 36,,,,,,,,
Processes: 50,,,,,,,,
Device Load: dl.,,,,,,,,
Arrival Times: hybrid,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01556,175.90,387,0.99,2394.16,2559.42
2,1,First Come First Serve,0.01556,184.80,387,0.99,2436.36,2547.44
1,2,First Come First Serve,0.02101,65.34,387,0.57,337.70,1584.46
2,2,First Come First Serve,0.03071,87.16,387,0.97,1053.36,1196.32
1,1,Round Robin,0.01555,43.00,1700,0.99,2113.82,2310.04
1,1,Round Robin,0.01544,98.58,789,0.98,2140.22,2348.74
1,1,Round Robin,0.01549,150.74,511,0.99,2262.64,2454.96
2,1,Round Robin,0.01563,43.08,1700,1.00,2173.36,2291.10
2,1,Round Robin,0.01562,98.26,789,1.00,2218.34,2332.00
2,1,Round Robin,0.01569,153.64,511,1.00,2323.26,2437.02
1,2,Round Robin,0.02103,16.46,1700,0.53,361.00,1553.56
1,2,Round Robin,0.02104,35.96,789,0.52,360.10,1567.48
1,2,Round Robin,0.02101,54.64,511,0.55,355.94,1584.14
2,2,Round Robin,0.03081,19.24,1700,0.97,942.12,1095.94
2,2,Round Robin,0.03051,42.06,789,0.96,950.38,1111.38
2,2,Round Robin,0.03094,66.90,511,0.99,1017.60,1149.50
1,1,Shortest Job First,0.01559,490.60,387,0.99,1327.94,1535.22
2,1,Shortest Job First,0.01559,512.12,387,0.99,1397.00,1507.78
1,2,Shortest Job First,0.02076,103.20,387,0.54,242.22,1417.86
2,2,Shortest Job First,0.02959,184.48,387,0.92,596.20,740.60
1,1,Shortest Remaining Time First,0.01569,482.10,419,1.00,1360.04,1559.10
2,1,Shortest Remaining Time First,0.01569,503.92,411,1.00,1412.46,1523.02
1,2,Shortest Remaining Time First,0.02076,119.12,453,0.56,233.04,1420.46
2,2,Shortest Remaining Time First,0.03043,186.14,475,0.95,606.92,741.10
1,1,Priority,0.01563,1435.68,387,1.00,1556.68,1712.00
2,1,Priority,0.01562,1448.32,387,1.00,1578.36,1690.42
1,2,Priority,0.02092,283.08,387,0.55,323.52,1454.12
2,2,Priority,0.03100,624.00,387,0.98,694.50,823.68
