Process File: 38,,,,,,,,
Processes: 10,,,,,,,,
Device Load: balanced.,,,,,,,,
Arrival Times: batch,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01957,23.70,70,0.96,209.80,343.60
2,1,First Come First Serve,0.02020,23.70,70,1.00,250.40,335.50
1,2,First Come First Serve,0.02217,8.20,70,0.42,34.50,259.10
2,2,First Come First Serve,0.03401,8.20,70,0.90,60.60,167.20
1,1,Round Robin,0.01949,6.80,254,0.96,185.70,327.80
1,1,Round Robin,0.01961,16.70,122,0.97,197.70,327.30
1,1,Round Robin,0.01927,23.50,83,0.95,218.50,340.60
2,1,Round Robin,0.01992,6.80,254,0.98,229.90,313.70
2,1,Round Robin,0.01992,16.70,122,0.98,229.20,315.60
2,1,Round Robin,0.01996,23.50,83,0.98,249.00,333.20
1,2,Round Robin,0.02232,2.10,254,0.39,31.70,263.10
1,2,Round Robin,0.02262,5.40,122,0.40,31.80,260.80
1,2,Round Robin,0.02217,8.10,83,0.41,34.30,259.80
2,2,Round Robin,0.03356,2.10,254,0.80,60.60,156.60
2,2,Round Robin,0.03322,5.50,122,0.79,59.80,161.40
2,2,Round Robin,0.03472,8.10,83,0.85,62.70,163.10
1,1,Shortest Job First,0.01972,45.20,70,0.97,153.40,264.60
2,1,Shortest Job First,0.01957,53.10,70,0.96,166.60,250.40
1,2,Shortest Job First,0.02278,6.10,70,0.45,25.00,255.60
2,2,Shortest Job First,0.03268,8.90,70,0.81,51.50,144.00
1,1,Shortest Remaining Time First,0.01996,50.20,79,0.98,146.50,255.40
2,1,Shortest Remaining Time First,0.01953,54.50,76,0.96,159.80,244.00
1,2,Shortest Remaining Time First,0.02257,23.80,83,0.43,22.70,245.50
2,2,Shortest Remaining Time First,0.03509,12.90,88,0.88,45.80,136.50
1,1,Priority,0.01901,152.70,70,0.93,186.40,301.00
2,1,Priority,0.01949,154.60,70,0.96,199.10,283.70
1,2,Priority,0.02288,24.20,70,0.42,35.30,259.50
2,2,Priority,0.03546,40.50,70,0.89,59.80,166.30
