Process File: 40,,,,,,,,
Processes: 25,,,,,,,,
Device Load: balanced.,,,,,,,,
Arrival Times: flow,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01866,62.32,191,0.96,649.52,977.68
2,1,First Come First Serve,0.01935,72.84,191,0.99,854.96,958.84
1,2,First Come First Serve,0.01905,6.68,191,0.32,35.92,808.88
2,2,First Come First Serve,0.03556,20.32,191,0.89,235.48,424.00
1,1,Round Robin,0.01814,18.88,682,0.93,544.16,890.48
1,1,Round Robin,0.01850,35.72,331,0.95,581.20,909.48
1,1,Round Robin,0.01885,57.08,216,0.97,613.00,935.92
2,1,Round Robin,0.01935,19.16,682,0.99,748.00,861.12
2,1,Round Robin,0.01933,40.56,331,0.99,762.12,868.16
2,1,Round Robin,0.01935,61.88,216,0.99,800.04,907.84
1,2,Round Robin,0.01905,1.56,682,0.31,41.88,808.36
1,2,Round Robin,0.01905,3.60,331,0.31,36.44,812.72
1,2,Round Robin,0.01905,6.40,216,0.31,44.08,807.36
2,2,Round Robin,0.03458,6.40,682,0.85,205.28,390.04
2,2,Round Robin,0.03531,11.76,331,0.88,218.40,395.52
2,2,Round Robin,0.03566,18.48,216,0.89,216.68,408.84
1,1,Shortest Job First,0.01823,95.44,191,0.94,306.72,711.20
2,1,Shortest Job First,0.01874,149.84,191,0.96,432.48,538.00
1,2,Shortest Job First,0.01905,7.12,191,0.31,22.88,807.88
2,2,Shortest Job First,0.03347,20.72,191,0.80,113.16,328.72
1,1,Shortest Remaining Time First,0.01820,100.64,206,0.93,302.80,705.24
2,1,Shortest Remaining Time First,0.01874,134.24,202,0.96,437.56,542.44
1,2,Shortest Remaining Time First,0.01905,27.40,223,0.35,28.36,797.80
2,2,Shortest Remaining Time First,0.03311,33.64,235,0.79,112.44,328.16
1,1,Priority,0.01875,378.72,191,0.96,459.72,724.40
2,1,Priority,0.01916,445.08,191,0.98,530.04,637.12
1,2,Priority,0.01884,31.96,191,0.29,65.64,789.24
2,2,Priority,0.03521,80.12,191,0.88,174.24,343.04
