Process File: 45,,,,,,,,
Processes: 50,,,,,,,,
Device Load: balanced.,,,,,,,,
Arrival Times: hybrid,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01919,117.06,379,0.83,757.42,1745.46
2,1,First Come First Serve,0.02279,124.20,379,0.99,1454.02,1553.18
1,2,First Come First Serve,0.01954,22.72,379,0.26,70.18,1550.60
2,2,First Come First Serve,0.03779,44.52,379,0.77,268.58,731.08
1,1,Round Robin,0.01867,42.02,1179,0.81,706.26,1657.88
1,1,Round Robin,0.01885,77.92,587,0.82,694.44,1666.84
1,1,Round Robin,0.01918,108.66,410,0.83,746.98,1720.62
2,1,Round Robin,0.02297,43.32,1179,1.00,1265.74,1374.06
2,1,Round Robin,0.02293,84.62,587,1.00,1300.24,1404.64
2,1,Round Robin,0.02297,118.24,410,1.00,1388.40,1487.16
1,2,Round Robin,0.01954,8.02,1179,0.23,86.92,1498.28
1,2,Round Robin,0.01949,15.46,587,0.24,77.74,1529.22
1,2,Round Robin,0.01955,20.64,410,0.25,72.28,1539.28
2,2,Round Robin,0.03647,14.66,1179,0.69,235.52,723.70
2,2,Round Robin,0.03734,31.26,587,0.72,265.70,697.50
2,2,Round Robin,0.03791,42.22,410,0.77,271.04,718.20
1,1,Shortest Job First,0.01934,238.30,379,0.84,498.32,1243.46
2,1,Shortest Job First,0.02297,306.80,379,1.00,786.22,887.02
1,2,Shortest Job First,0.01963,24.08,379,0.25,55.24,1426.02
2,2,Shortest Job First,0.03788,71.68,379,0.75,168.26,581.48
1,1,Shortest Remaining Time First,0.01921,272.14,413,0.84,503.34,1212.24
2,1,Shortest Remaining Time First,0.02297,340.46,425,1.00,783.04,878.78
1,2,Shortest Remaining Time First,0.01966,73.34,422,0.26,58.20,1404.26
2,2,Shortest Remaining Time First,0.03745,86.06,454,0.77,164.62,568.02
1,1,Priority,0.01933,525.90,379,0.84,572.34,1542.36
2,1,Priority,0.02289,896.62,379,1.00,963.76,1064.66
1,2,Priority,0.01944,47.08,379,0.24,53.52,1619.22
2,2,Priority,0.03734,133.56,379,0.75,154.30,734.02
