Process File: 6,,,,,,,,
Processes: 25,,,,,,,,
Device Load: cpu.,,,,,,,,
Arrival Times: hybrid,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01382,42.72,184,0.68,193.12,1101.36
2,1,First Come First Serve,0.02018,65.36,184,1.00,733.08,865.12
1,2,First Come First Serve,0.01382,1.44,184,0.14,5.24,1070.08
2,2,First Come First Serve,0.02720,6.36,184,0.57,25.92,486.84
1,1,Round Robin,0.01370,14.16,662,0.68,225.04,1089.56
1,1,Round Robin,0.01372,29.88,323,0.68,215.12,1087.08
1,1,Round Robin,0.01382,41.00,209,0.68,189.48,1101.96
2,1,Round Robin,0.01981,17.08,662,0.98,664.12,805.36
2,1,Round Robin,0.01994,35.04,323,0.98,664.12,823.32
2,1,Round Robin,0.02019,60.96,209,1.00,713.44,850.16
1,2,Round Robin,0.01382,0.36,662,0.13,5.92,1073.00
1,2,Round Robin,0.01382,1.28,323,0.14,6.48,1070.92
1,2,Round Robin,0.01382,1.60,209,0.14,5.72,1069.16
2,2,Round Robin,0.02706,1.64,662,0.53,27.32,490.52
2,2,Round Robin,0.02711,3.44,323,0.55,25.48,489.40
2,2,Round Robin,0.02717,5.96,209,0.60,25.48,489.28
1,1,Shortest Job First,0.01377,48.20,184,0.68,136.76,1040.00
2,1,Shortest Job First,0.01944,120.56,184,0.96,452.60,590.16
1,2,Shortest Job First,0.01382,1.24,184,0.16,4.04,1065.60
2,2,Shortest Job First,0.02709,3.56,184,0.59,16.20,483.16
1,1,Shortest Remaining Time First,0.01382,59.20,202,0.68,121.64,1017.68
2,1,Shortest Remaining Time First,0.01933,131.72,207,0.95,437.44,581.00
1,2,Shortest Remaining Time First,0.01382,19.60,196,0.15,3.40,1070.36
2,2,Shortest Remaining Time First,0.02726,24.60,221,0.58,16.48,483.52
1,1,Priority,0.01380,79.64,184,0.68,143.60,1143.80
2,1,Priority,0.02013,367.52,184,0.99,563.20,705.40
1,2,Priority,0.01382,2.24,184,0.15,5.12,1070.68
2,2,Priority,0.02697,11.08,184,0.60,25.12,492.32
