time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
1,8 added to ready queue,enqueue,8,,['8'],[],[None],[None]
18,5 added to ready queue,enqueue,5,,"['8', '5']",[],[None],[None]
31,7 added to ready queue,enqueue,7,,"['8', '5', '7']",[],[None],[None]
34,4 added to ready queue,enqueue,4,,"['8', '5', '7', '4']",[],[None],[None]
51,3 added to ready queue,enqueue,3,,"['8', '5', '7', '4', '3']",[],[None],[None]
52,1 added to ready queue,enqueue,1,,"['8', '5', '7', '4', '3', '1']",[],[None],[None]
53,2 added to ready queue,enqueue,2,,"['8', '5', '7', '4', '3', '1', '2']",[],[None],[None]
56,6 added to ready queue,enqueue,6,,"['8', '5', '7', '4', '3', '1', '2', '6']",[],[None],[None]
60,9 added to ready queue,enqueue,9,,"['8', '5', '7', '4', '3', '1', '2', '6', '9']",[],[None],[None]
74,10 added to ready queue,enqueue,10,,"['8', '5', '7', '4', '3', '1', '2', '6', '9', '10']",[],[None],[None]
75,8 dispatched to CPU0,dispatch_cpu,8,CPU0,"['5', '7', '4', '3', '1', '2', '6', '9', '10']",[],['8'],[None]
81,8 finished CPU → wait queue,cpu_to_io,8,CPU0,"['5', '7', '4', '3', '1', '2', '6', '9', '10']",['8'],[None],[None]
81,5 dispatched to CPU0,dispatch_cpu,5,CPU0,"['7', '4', '3', '1', '2', '6', '9', '10']",['8'],['5'],[None]
81,8 dispatched to IO0,dispatch_io,8,IO0,"['7', '4', '3', '1', '2', '6', '9', '10']",[],['5'],['8']
86,5 finished CPU → wait queue,cpu_to_io,5,CPU0,"['7', '4', '3', '1', '2', '6', '9', '10']",['5'],[None],['8']
86,7 dispatched to CPU0,dispatch_cpu,7,CPU0,"['4', '3', '1', '2', '6', '9', '10']",['5'],['7'],['8']
93,7 finished CPU → wait queue,cpu_to_io,7,CPU0,"['4', '3', '1', '2', '6', '9', '10']","['5', '7']",[None],['8']
93,4 dispatched to CPU0,dispatch_cpu,4,CPU0,"['3', '1', '2', '6', '9', '10']","['5', '7']",['4'],['8']
99,8 finished I/O → ready queue,io_to_ready,8,IO0,"['3', '1', '2', '6', '9', '10', '8']","['5', '7']",['4'],[None]
99,5 dispatched to IO0,dispatch_io,5,IO0,"['3', '1', '2', '6', '9', '10', '8']",['7'],['4'],['5']
101,4 finished CPU → wait queue,cpu_to_io,4,CPU0,"['3', '1', '2', '6', '9', '10', '8']","['7', '4']",[None],['5']
101,3 dispatched to CPU0,dispatch_cpu,3,CPU0,"['1', '2', '6', '9', '10', '8']","['7', '4']",['3'],['5']
104,5 finished I/O → ready queue,io_to_ready,5,IO0,"['1', '2', '6', '9', '10', '8', '5']","['7', '4']",['3'],[None]
104,7 dispatched to IO0,dispatch_io,7,IO0,"['1', '2', '6', '9', '10', '8', '5']",['4'],['3'],['7']
107,3 finished CPU → wait queue,cpu_to_io,3,CPU0,"['1', '2', '6', '9', '10', '8', '5']","['4', '3']",[None],['7']
107,1 dispatched to CPU0,dispatch_cpu,1,CPU0,"['2', '6', '9', '10', '8', '5']","['4', '3']",['1'],['7']
111,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,"['2', '6', '9', '10', '8', '5', '1']","['4', '3']",[None],['7']
111,2 dispatched to CPU0,dispatch_cpu,2,CPU0,"['6', '9', '10', '8', '5', '1']","['4', '3']",['2'],['7']
114,2 finished CPU → wait queue,cpu_to_io,2,CPU0,"['6', '9', '10', '8', '5', '1']","['4', '3', '2']",[None],['7']
114,6 dispatched to CPU0,dispatch_cpu,6,CPU0,"['9', '10', '8', '5', '1']","['4', '3', '2']",['6'],['7']
115,7 finished I/O → ready queue,io_to_ready,7,IO0,"['9', '10', '8', '5', '1', '7']","['4', '3', '2']",['6'],[None]
115,4 dispatched to IO0,dispatch_io,4,IO0,"['9', '10', '8', '5', '1', '7']","['3', '2']",['6'],['4']
117,6 finished CPU → wait queue,cpu_to_io,6,CPU0,"['9', '10', '8', '5', '1', '7']","['3', '2', '6']",[None],['4']
117,9 dispatched to CPU0,dispatch_cpu,9,CPU0,"['10', '8', '5', '1', '7']","['3', '2', '6']",['9'],['4']
118,9 finished CPU → ready queue,cpu_to_ready,9,CPU0,"['10', '8', '5', '1', '7', '9']","['3', '2', '6']",[None],['4']
118,10 dispatched to CPU0,dispatch_cpu,10,CPU0,"['8', '5', '1', '7', '9']","['3', '2', '6']",['10'],['4']
123,10 finished CPU → ready queue,cpu_to_ready,10,CPU0,"['8', '5', '1', '7', '9', '10']","['3', '2', '6']",[None],['4']
123,8 dispatched to CPU0,dispatch_cpu,8,CPU0,"['5', '1', '7', '9', '10']","['3', '2', '6']",['8'],['4']
131,8 finished CPU → ready queue,cpu_to_ready,8,CPU0,"['5', '1', '7', '9', '10', '8']","['3', '2', '6']",[None],['4']
131,5 dispatched to CPU0,dispatch_cpu,5,CPU0,"['1', '7', '9', '10', '8']","['3', '2', '6']",['5'],['4']
135,5 finished CPU → ready queue,cpu_to_ready,5,CPU0,"['1', '7', '9', '10', '8', '5']","['3', '2', '6']",[None],['4']
135,1 dispatched to CPU0,dispatch_cpu,1,CPU0,"['7', '9', '10', '8', '5']","['3', '2', '6']",['1'],['4']
139,4 finished I/O → ready queue,io_to_ready,4,IO0,"['7', '9', '10', '8', '5', '4']","['3', '2', '6']",['1'],[None]
139,3 dispatched to IO0,dispatch_io,3,IO0,"['7', '9', '10', '8', '5', '4']","['2', '6']",['1'],['3']
141,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,"['7', '9', '10', '8', '5', '4', '1']","['2', '6']",[None],['3']
141,7 dispatched to CPU0,dispatch_cpu,7,CPU0,"['9', '10', '8', '5', '4', '1']","['2', '6']",['7'],['3']
148,7 finished CPU → ready queue,cpu_to_ready,7,CPU0,"['9', '10', '8', '5', '4', '1', '7']","['2', '6']",[None],['3']
148,9 dispatched to CPU0,dispatch_cpu,9,CPU0,"['10', '8', '5', '4', '1', '7']","['2', '6']",['9'],['3']
153,9 finished CPU → ready queue,cpu_to_ready,9,CPU0,"['10', '8', '5', '4', '1', '7', '9']","['2', '6']",[None],['3']
153,3 finished I/O → ready queue,io_to_ready,3,IO0,"['10', '8', '5', '4', '1', '7', '9', '3']","['2', '6']",[None],[None]
153,10 dispatched to CPU0,dispatch_cpu,10,CPU0,"['8', '5', '4', '1', '7', '9', '3']","['2', '6']",['10'],[None]
153,2 dispatched to IO0,dispatch_io,2,IO0,"['8', '5', '4', '1', '7', '9', '3']",['6'],['10'],['2']
158,2 finished I/O → ready queue,io_to_ready,2,IO0,"['8', '5', '4', '1', '7', '9', '3', '2']",['6'],['10'],[None]
158,6 dispatched to IO0,dispatch_io,6,IO0,"['8', '5', '4', '1', '7', '9', '3', '2']",[],['10'],['6']
159,10 finished CPU → ready queue,cpu_to_ready,10,CPU0,"['8', '5', '4', '1', '7', '9', '3', '2', '10']",[],[None],['6']
159,8 dispatched to CPU0,dispatch_cpu,8,CPU0,"['5', '4', '1', '7', '9', '3', '2', '10']",[],['8'],['6']
161,6 finished I/O → ready queue,io_to_ready,6,IO0,"['5', '4', '1', '7', '9', '3', '2', '10', '6']",[],['8'],[None]
164,8 finished CPU → wait queue,cpu_to_io,8,CPU0,"['5', '4', '1', '7', '9', '3', '2', '10', '6']",['8'],[None],[None]
164,5 dispatched to CPU0,dispatch_cpu,5,CPU0,"['4', '1', '7', '9', '3', '2', '10', '6']",['8'],['5'],[None]
164,8 dispatched to IO0,dispatch_io,8,IO0,"['4', '1', '7', '9', '3', '2', '10', '6']",[],['5'],['8']
167,5 finished all bursts,finished,5,CPU0,"['4', '1', '7', '9', '3', '2', '10', '6']",[],[None],['8']
167,4 dispatched to CPU0,dispatch_cpu,4,CPU0,"['1', '7', '9', '3', '2', '10', '6']",[],['4'],['8']
175,4 finished CPU → ready queue,cpu_to_ready,4,CPU0,"['1', '7', '9', '3', '2', '10', '6', '4']",[],[None],['8']
175,1 dispatched to CPU0,dispatch_cpu,1,CPU0,"['7', '9', '3', '2', '10', '6', '4']",[],['1'],['8']
