time, event                        , event_type  , process, device, ready_queue                      , wait_queue                                , cpus  , ios
   0, 1 added to ready queue       , enqueue     ,       1,       , ['1']                            , []                                        , [None], [None]
   0, 2 added to ready queue       , enqueue     ,       2,       , "['2', '1']"                     , []                                        , [None], [None]
   0, 3 added to ready queue       , enqueue     ,       3,       , "['3', '2', '1']"                , []                                        , [None], [None]
   0, 4 added to ready queue       , enqueue     ,       4,       , "['3', '2', '4', '1']"           , []                                        , [None], [None]
   0, 5 added to ready queue       , enqueue     ,       5,       , "['3', '5', '2', '4', '1']"      , []                                        , [None], [None]
   0, 3 dispatched to CPU0         , dispatch_cpu,       3, CPU0  , "['5', '2', '4', '1']"           , []                                        , ['3'] , [None]
   2, 3 finished CPU → wait queue  , cpu_to_io   ,       3, CPU0  , "['5', '2', '4', '1']"           , ['3']                                     , [None], [None]
   2, 5 dispatched to CPU0         , dispatch_cpu,       5, CPU0  , "['2', '4', '1']"                , ['3']                                     , ['5'] , [None]
   2, 3 dispatched to IO0          , dispatch_io ,       3, IO0   , "['2', '4', '1']"                , []                                        , ['5'] , ['3']
   5, 5 finished CPU → wait queue  , cpu_to_io   ,       5, CPU0  , "['2', '4', '1']"                , ['5']                                     , [None], ['3']
   5, 2 dispatched to CPU0         , dispatch_cpu,       2, CPU0  , "['4', '1']"                     , ['5']                                     , ['2'] , ['3']
   9, 2 finished CPU → ready queue , cpu_to_ready,       2, CPU0  , "['4', '1', '2']"                , ['5']                                     , [None], ['3']
   9, 4 dispatched to CPU0         , dispatch_cpu,       4, CPU0  , "['1', '2']"                     , ['5']                                     , ['4'] , ['3']
  19, 3 finished I/O → ready queue , io_to_ready ,       3, IO0   , "['1', '2', '3']"                , ['5']                                     , ['4'] , [None]
  19, 5 dispatched to IO0          , dispatch_io ,       5, IO0   , "['1', '2', '3']"                , []                                        , ['4'] , ['5']
  20, 4 finished CPU → wait queue  , cpu_to_io   ,       4, CPU0  , "['1', '2', '3']"                , ['4']                                     , [None], ['5']
  20, 1 dispatched to CPU0         , dispatch_cpu,       1, CPU0  , "['2', '3']"                     , ['4']                                     , ['1'] , ['5']
  26, 5 finished I/O → ready queue , io_to_ready ,       5, IO0   , "['2', '3', '5']"                , ['4']                                     , ['1'] , [None]
  26, 4 dispatched to IO0          , dispatch_io ,       4, IO0   , "['2', '3', '5']"                , []                                        , ['1'] , ['4']
  35, 1 finished CPU → wait queue  , cpu_to_io   ,       1, CPU0  , "['2', '3', '5']"                , ['1']                                     , [None], ['4']
  35, 2 dispatched to CPU0         , dispatch_cpu,       2, CPU0  , "['3', '5']"                     , ['1']                                     , ['2'] , ['4']
  39, 2 finished CPU → wait queue  , cpu_to_io   ,       2, CPU0  , "['3', '5']"                     , "['1', '2']"                              , [None], ['4']
  39, 3 dispatched to CPU0         , dispatch_cpu,       3, CPU0  , ['5']                            , "['1', '2']"                              , ['3'] , ['4']
  46, 4 finished I/O → ready queue , io_to_ready ,       4, IO0   , "['5', '4']"                     , "['1', '2']"                              , ['3'] , [None]
  46, 1 dispatched to IO0          , dispatch_io ,       1, IO0   , "['5', '4']"                     , ['2']                                     , ['3'] , ['1']
  50, 3 finished CPU → wait queue  , cpu_to_io   ,       3, CPU0  , "['5', '4']"                     , "['2', '3']"                              , [None], ['1']
  50, 5 dispatched to CPU0         , dispatch_cpu,       5, CPU0  , ['4']                            , "['2', '3']"                              , ['5'] , ['1']
  52, 5 finished CPU → ready queue , cpu_to_ready,       5, CPU0  , "['4', '5']"                     , "['2', '3']"                              , [None], ['1']
  52, 4 dispatched to CPU0         , dispatch_cpu,       4, CPU0  , ['5']                            , "['2', '3']"                              , ['4'] , ['1']
  56, 4 finished CPU → wait queue  , cpu_to_io   ,       4, CPU0  , ['5']                            , "['2', '3', '4']"                         , [None], ['1']
  56, 5 dispatched to CPU0         , dispatch_cpu,       5, CPU0  , []                               , "['2', '3', '4']"                         , ['5'] , ['1']
  59, 5 finished CPU → wait queue  , cpu_to_io   ,       5, CPU0  , []                               , "['2', '3', '4', '5']"                    , [None], ['1']
  66, 1 finished I/O → ready queue , io_to_ready ,       1, IO0   , ['1']                            , "['2', '3', '4', '5']"                    , [None], [None]
  66, 1 dispatched to CPU0         , dispatch_cpu,       1, CPU0  , []                               , "['2', '3', '4', '5']"                    , ['1'] , [None]
  66, 2 dispatched to IO0          , dispatch_io ,       2, IO0   , []                               , "['3', '4', '5']"                         , ['1'] , ['2']
  68, 6 added to ready queue       , enqueue     ,       6,       , ['6']                            , "['3', '4', '5']"                         , ['1'] , ['2']
  70, 2 finished I/O → ready queue , io_to_ready ,       2, IO0   , "['6', '2']"                     , "['3', '4', '5']"                         , ['1'] , [None]
  70, 3 dispatched to IO0          , dispatch_io ,       3, IO0   , "['6', '2']"                     , "['4', '5']"                              , ['1'] , ['3']
  71, 1 finished CPU → wait queue  , cpu_to_io   ,       1, CPU0  , "['6', '2']"                     , "['4', '5', '1']"                         , [None], ['3']
  71, 6 dispatched to CPU0         , dispatch_cpu,       6, CPU0  , ['2']                            , "['4', '5', '1']"                         , ['6'] , ['3']
  75, 6 finished CPU → wait queue  , cpu_to_io   ,       6, CPU0  , ['2']                            , "['4', '5', '1', '6']"                    , [None], ['3']
  75, 2 dispatched to CPU0         , dispatch_cpu,       2, CPU0  , []                               , "['4', '5', '1', '6']"                    , ['2'] , ['3']
  79, 2 finished CPU → wait queue  , cpu_to_io   ,       2, CPU0  , []                               , "['4', '5', '1', '6', '2']"               , [None], ['3']
  81, 7 added to ready queue       , enqueue     ,       7,       , ['7']                            , "['4', '5', '1', '6', '2']"               , [None], ['3']
  81, 7 dispatched to CPU0         , dispatch_cpu,       7, CPU0  , []                               , "['4', '5', '1', '6', '2']"               , ['7'] , ['3']
  84, 7 finished CPU → wait queue  , cpu_to_io   ,       7, CPU0  , []                               , "['4', '5', '1', '6', '2', '7']"          , [None], ['3']
  94, 3 finished I/O → ready queue , io_to_ready ,       3, IO0   , ['3']                            , "['4', '5', '1', '6', '2', '7']"          , [None], [None]
  94, 3 dispatched to CPU0         , dispatch_cpu,       3, CPU0  , []                               , "['4', '5', '1', '6', '2', '7']"          , ['3'] , [None]
  94, 4 dispatched to IO0          , dispatch_io ,       4, IO0   , []                               , "['5', '1', '6', '2', '7']"               , ['3'] , ['4']
  98, 8 added to ready queue       , enqueue     ,       8,       , ['8']                            , "['5', '1', '6', '2', '7']"               , ['3'] , ['4']
 101, 9 added to ready queue       , enqueue     ,       9,       , "['8', '9']"                     , "['5', '1', '6', '2', '7']"               , ['3'] , ['4']
 102, 3 finished CPU → ready queue , cpu_to_ready,       3, CPU0  , "['8', '9', '3']"                , "['5', '1', '6', '2', '7']"               , [None], ['4']
 102, 8 dispatched to CPU0         , dispatch_cpu,       8, CPU0  , "['9', '3']"                     , "['5', '1', '6', '2', '7']"               , ['8'] , ['4']
 104, 8 finished CPU → wait queue  , cpu_to_io   ,       8, CPU0  , "['9', '3']"                     , "['5', '1', '6', '2', '7', '8']"          , [None], ['4']
 104, 9 dispatched to CPU0         , dispatch_cpu,       9, CPU0  , ['3']                            , "['5', '1', '6', '2', '7', '8']"          , ['9'] , ['4']
 108, 10 added to ready queue      , enqueue     ,      10,       , "['3', '10']"                    , "['5', '1', '6', '2', '7', '8']"          , ['9'] , ['4']
 110, 9 finished CPU → wait queue  , cpu_to_io   ,       9, CPU0  , "['3', '10']"                    , "['5', '1', '6', '2', '7', '8', '9']"     , [None], ['4']
 110, 3 dispatched to CPU0         , dispatch_cpu,       3, CPU0  , ['10']                           , "['5', '1', '6', '2', '7', '8', '9']"     , ['3'] , ['4']
 116, 3 finished CPU → wait queue  , cpu_to_io   ,       3, CPU0  , ['10']                           , "['5', '1', '6', '2', '7', '8', '9', '3']", [None], ['4']
 116, 10 dispatched to CPU0        , dispatch_cpu,      10, CPU0  , []                               , "['5', '1', '6', '2', '7', '8', '9', '3']", ['10'], ['4']
 117, 4 finished I/O → ready queue , io_to_ready ,       4, IO0   , ['4']                            , "['5', '1', '6', '2', '7', '8', '9', '3']", ['10'], [None]
 117, 5 dispatched to IO0          , dispatch_io ,       5, IO0   , ['4']                            , "['1', '6', '2', '7', '8', '9', '3']"     , ['10'], ['5']
 124, 5 finished I/O → ready queue , io_to_ready ,       5, IO0   , "['4', '5']"                     , "['1', '6', '2', '7', '8', '9', '3']"     , ['10'], [None]
 124, 1 dispatched to IO0          , dispatch_io ,       1, IO0   , "['4', '5']"                     , "['6', '2', '7', '8', '9', '3']"          , ['10'], ['1']
 128, 10 finished CPU → ready queue, cpu_to_ready,      10, CPU0  , "['4', '5', '10']"               , "['6', '2', '7', '8', '9', '3']"          , [None], ['1']
 128, 4 dispatched to CPU0         , dispatch_cpu,       4, CPU0  , "['5', '10']"                    , "['6', '2', '7', '8', '9', '3']"          , ['4'] , ['1']
 137, 4 finished CPU → ready queue , cpu_to_ready,       4, CPU0  , "['5', '10', '4']"               , "['6', '2', '7', '8', '9', '3']"          , [None], ['1']
 137, 5 dispatched to CPU0         , dispatch_cpu,       5, CPU0  , "['10', '4']"                    , "['6', '2', '7', '8', '9', '3']"          , ['5'] , ['1']
 138, 1 finished I/O → ready queue , io_to_ready ,       1, IO0   , "['10', '4', '1']"               , "['6', '2', '7', '8', '9', '3']"          , ['5'] , [None]
 138, 6 dispatched to IO0          , dispatch_io ,       6, IO0   , "['10', '4', '1']"               , "['2', '7', '8', '9', '3']"               , ['5'] , ['6']
 140, 5 finished CPU → wait queue  , cpu_to_io   ,       5, CPU0  , "['10', '4', '1']"               , "['2', '7', '8', '9', '3', '5']"          , [None], ['6']
 140, 10 dispatched to CPU0        , dispatch_cpu,      10, CPU0  , "['4', '1']"                     , "['2', '7', '8', '9', '3', '5']"          , ['10'], ['6']
 145, 6 finished I/O → ready queue , io_to_ready ,       6, IO0   , "['4', '1', '6']"                , "['2', '7', '8', '9', '3', '5']"          , ['10'], [None]
 145, 2 dispatched to IO0          , dispatch_io ,       2, IO0   , "['4', '1', '6']"                , "['7', '8', '9', '3', '5']"               , ['10'], ['2']
 148, 10 finished CPU → ready queue, cpu_to_ready,      10, CPU0  , "['4', '1', '6', '10']"          , "['7', '8', '9', '3', '5']"               , [None], ['2']
 148, 4 dispatched to CPU0         , dispatch_cpu,       4, CPU0  , "['1', '6', '10']"               , "['7', '8', '9', '3', '5']"               , ['4'] , ['2']
 150, 2 finished I/O → ready queue , io_to_ready ,       2, IO0   , "['1', '6', '10', '2']"          , "['7', '8', '9', '3', '5']"               , ['4'] , [None]
 150, 7 dispatched to IO0          , dispatch_io ,       7, IO0   , "['1', '6', '10', '2']"          , "['8', '9', '3', '5']"                    , ['4'] , ['7']
 156, 4 finished CPU → wait queue  , cpu_to_io   ,       4, CPU0  , "['1', '6', '10', '2']"          , "['8', '9', '3', '5', '4']"               , [None], ['7']
 156, 1 dispatched to CPU0         , dispatch_cpu,       1, CPU0  , "['6', '10', '2']"               , "['8', '9', '3', '5', '4']"               , ['1'] , ['7']
 157, 7 finished I/O → ready queue , io_to_ready ,       7, IO0   , "['6', '10', '2', '7']"          , "['8', '9', '3', '5', '4']"               , ['1'] , [None]
 157, 8 dispatched to IO0          , dispatch_io ,       8, IO0   , "['6', '10', '2', '7']"          , "['9', '3', '5', '4']"                    , ['1'] , ['8']
 160, 8 finished I/O → ready queue , io_to_ready ,       8, IO0   , "['6', '10', '2', '7', '8']"     , "['9', '3', '5', '4']"                    , ['1'] , [None]
 160, 9 dispatched to IO0          , dispatch_io ,       9, IO0   , "['6', '10', '2', '7', '8']"     , "['3', '5', '4']"                         , ['1'] , ['9']
 173, 9 finished I/O → ready queue , io_to_ready ,       9, IO0   , "['6', '10', '2', '7', '8', '9']", "['3', '5', '4']"                         , ['1'] , [None]
 173, 3 dispatched to IO0          , dispatch_io ,       3, IO0   , "['6', '10', '2', '7', '8', '9']", "['5', '4']"                              , ['1'] , ['3']
 174, 1 finished CPU → wait queue  , cpu_to_io   ,       1, CPU0  , "['6', '10', '2', '7', '8', '9']", "['5', '4', '1']"                         , [None], ['3']
 174, 6 dispatched to CPU0         , dispatch_cpu,       6, CPU0  , "['10', '2', '7', '8', '9']"     , "['5', '4', '1']"                         , ['6'] , ['3']
 177, 6 finished CPU → wait queue  , cpu_to_io   ,       6, CPU0  , "['10', '2', '7', '8', '9']"     , "['5', '4', '1', '6']"                    , [None], ['3']
 177, 10 dispatched to CPU0        , dispatch_cpu,      10, CPU0  , "['2', '7', '8', '9']"           , "['5', '4', '1', '6']"                    , ['10'], ['3']
 180, 10 finished CPU → ready queue, cpu_to_ready,      10, CPU0  , "['2', '7', '8', '9', '10']"     , "['5', '4', '1', '6']"                    , [None], ['3']
 180, 2 dispatched to CPU0         , dispatch_cpu,       2, CPU0  , "['7', '8', '9', '10']"          , "['5', '4', '1', '6']"                    , ['2'] , ['3']
 185, 2 finished CPU → ready queue , cpu_to_ready,       2, CPU0  , "['7', '8', '9', '10', '2']"     , "['5', '4', '1', '6']"                    , [None], ['3']
 185, 7 dispatched to CPU0         , dispatch_cpu,       7, CPU0  , "['8', '9', '10', '2']"          , "['5', '4', '1', '6']"                    , ['7'] , ['3']
 188, 7 finished CPU → wait queue  , cpu_to_io   ,       7, CPU0  , "['8', '9', '10', '2']"          , "['5', '4', '1', '6', '7']"               , [None], ['3']
 188, 8 dispatched to CPU0         , dispatch_cpu,       8, CPU0  , "['9', '10', '2']"               , "['5', '4', '1', '6', '7']"               , ['8'] , ['3']
 190, 3 finished I/O → ready queue , io_to_ready ,       3, IO0   , "['9', '10', '2', '3']"          , "['5', '4', '1', '6', '7']"               , ['8'] , [None]
 190, 5 dispatched to IO0          , dispatch_io ,       5, IO0   , "['9', '10', '2', '3']"          , "['4', '1', '6', '7']"                    , ['8'] , ['5']
 192, 8 finished CPU → ready queue , cpu_to_ready,       8, CPU0  , "['9', '10', '2', '3', '8']"     , "['4', '1', '6', '7']"                    , [None], ['5']
