time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
22,1 added to ready queue,enqueue,1,,['1'],[],[None],"[None, None, None]"
22,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],['1'],"[None, None, None]"
25,2 added to ready queue,enqueue,2,,['2'],[],['1'],"[None, None, None]"
31,1 finished CPU → wait queue,cpu_to_io,1,CPU0,['2'],['1'],[None],"[None, None, None]"
31,2 dispatched to CPU0,dispatch_cpu,2,CPU0,[],['1'],['2'],"[None, None, None]"
31,1 dispatched to IO0,dispatch_io,1,IO0,[],[],['2'],"['1', None, None]"
32,3 added to ready queue,enqueue,3,,['3'],[],['2'],"['1', None, None]"
33,4 added to ready queue,enqueue,4,,"['3', '4']",[],['2'],"['1', None, None]"
34,5 added to ready queue,enqueue,5,,"['3', '4', '5']",[],['2'],"['1', None, None]"
34,6 added to ready queue,enqueue,6,,"['3', '6', '4', '5']",[],['2'],"['1', None, None]"
34,7 added to ready queue,enqueue,7,,"['3', '6', '4', '7', '5']",[],['2'],"['1', None, None]"
34,8 added to ready queue,enqueue,8,,"['3', '8', '6', '4', '7', '5']",[],['2'],"['1', None, None]"
35,9 added to ready queue,enqueue,9,,"['3', '8', '9', '6', '4', '7', '5']",[],['2'],"['1', None, None]"
35,10 added to ready queue,enqueue,10,,"['3', '8', '9', '10', '6', '4', '7', '5']",[],['2'],"['1', None, None]"
35,2 finished CPU → wait queue,cpu_to_io,2,CPU0,"['3', '8', '9', '10', '6', '4', '7', '5']",['2'],[None],"['1', None, None]"
35,3 dispatched to CPU0,dispatch_cpu,3,CPU0,"['8', '9', '10', '6', '4', '7', '5']",['2'],['3'],"['1', None, None]"
35,2 dispatched to IO1,dispatch_io,2,IO1,"['8', '9', '10', '6', '4', '7', '5']",[],['3'],"['1', '2', None]"
37,3 finished CPU → ready queue,cpu_to_ready,3,CPU0,"['3', '8', '9', '10', '6', '4', '7', '5']",[],[None],"['1', '2', None]"
37,3 dispatched to CPU0,dispatch_cpu,3,CPU0,"['8', '9', '10', '6', '4', '7', '5']",[],['3'],"['1', '2', None]"
39,11 added to ready queue,enqueue,11,,"['11', '8', '9', '10', '6', '4', '7', '5']",[],['3'],"['1', '2', None]"
39,12 added to ready queue,enqueue,12,,"['11', '8', '9', '10', '6', '4', '7', '12', '5']",[],['3'],"['1', '2', None]"
41,3 finished CPU → wait queue,cpu_to_io,3,CPU0,"['11', '8', '9', '10', '6', '4', '7', '12', '5']",['3'],[None],"['1', '2', None]"
41,2 finished I/O → ready queue,io_to_ready,2,IO1,"['11', '2', '8', '9', '10', '6', '4', '7', '12', '5']",['3'],[None],"['1', None, None]"
41,11 dispatched to CPU0,dispatch_cpu,11,CPU0,"['2', '8', '9', '10', '6', '4', '7', '12', '5']",['3'],['11'],"['1', None, None]"
41,3 dispatched to IO1,dispatch_io,3,IO1,"['2', '8', '9', '10', '6', '4', '7', '12', '5']",[],['11'],"['1', '3', None]"
42,13 added to ready queue,enqueue,13,,"['13', '2', '8', '9', '10', '6', '4', '7', '12', '5']",[],['11'],"['1', '3', None]"
42,14 added to ready queue,enqueue,14,,"['13', '2', '8', '9', '10', '6', '4', '7', '14', '12', '5']",[],['11'],"['1', '3', None]"
43,15 added to ready queue,enqueue,15,,"['13', '2', '8', '15', '9', '10', '6', '4', '7', '14', '12', '5']",[],['11'],"['1', '3', None]"
43,16 added to ready queue,enqueue,16,,"['16', '13', '2', '8', '15', '9', '10', '6', '4', '7', '14', '12', '5']",[],['11'],"['1', '3', None]"
44,11 finished CPU → ready queue,cpu_to_ready,11,CPU0,"['11', '16', '13', '2', '8', '15', '9', '10', '6', '4', '7', '14', '12', '5']",[],[None],"['1', '3', None]"
44,11 dispatched to CPU0,dispatch_cpu,11,CPU0,"['16', '13', '2', '8', '15', '9', '10', '6', '4', '7', '14', '12', '5']",[],['11'],"['1', '3', None]"
45,17 added to ready queue,enqueue,17,,"['16', '13', '2', '8', '15', '9', '10', '6', '4', '7', '14', '12', '17', '5']",[],['11'],"['1', '3', None]"
45,18 added to ready queue,enqueue,18,,"['16', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '14', '12', '17', '5']",[],['11'],"['1', '3', None]"
46,19 added to ready queue,enqueue,19,,"['16', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '14', '12', '19', '17', '5']",[],['11'],"['1', '3', None]"
47,20 added to ready queue,enqueue,20,,"['16', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '14', '12', '20', '19', '17', '5']",[],['11'],"['1', '3', None]"
47,21 added to ready queue,enqueue,21,,"['16', '21', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '14', '12', '20', '19', '17', '5']",[],['11'],"['1', '3', None]"
47,11 finished CPU → wait queue,cpu_to_io,11,CPU0,"['16', '21', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '14', '12', '20', '19', '17', '5']",['11'],[None],"['1', '3', None]"
47,16 dispatched to CPU0,dispatch_cpu,16,CPU0,"['21', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '14', '12', '20', '19', '17', '5']",['11'],['16'],"['1', '3', None]"
47,11 dispatched to IO2,dispatch_io,11,IO2,"['21', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '14', '12', '20', '19', '17', '5']",[],['16'],"['1', '3', '11']"
48,22 added to ready queue,enqueue,22,,"['21', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '22', '14', '12', '20', '19', '17', '5']",[],['16'],"['1', '3', '11']"
48,23 added to ready queue,enqueue,23,,"['23', '21', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '22', '14', '12', '20', '19', '17', '5']",[],['16'],"['1', '3', '11']"
48,24 added to ready queue,enqueue,24,,"['23', '24', '21', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '22', '14', '12', '20', '19', '17', '5']",[],['16'],"['1', '3', '11']"
50,25 added to ready queue,enqueue,25,,"['23', '24', '21', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '19', '17', '5']",[],['16'],"['1', '3', '11']"
50,26 added to ready queue,enqueue,26,,"['23', '24', '21', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '26', '19', '17', '5']",[],['16'],"['1', '3', '11']"
50,16 finished CPU → wait queue,cpu_to_io,16,CPU0,"['23', '24', '21', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '26', '19', '17', '5']",['16'],[None],"['1', '3', '11']"
50,11 finished I/O → ready queue,io_to_ready,11,IO2,"['11', '23', '24', '21', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '26', '19', '17', '5']",['16'],[None],"['1', '3', None]"
50,11 dispatched to CPU0,dispatch_cpu,11,CPU0,"['23', '24', '21', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '26', '19', '17', '5']",['16'],['11'],"['1', '3', None]"
50,16 dispatched to IO2,dispatch_io,16,IO2,"['23', '24', '21', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '26', '19', '17', '5']",[],['11'],"['1', '3', '16']"
51,27 added to ready queue,enqueue,27,,"['23', '27', '24', '21', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '26', '19', '17', '5']",[],['11'],"['1', '3', '16']"
51,11 finished CPU → ready queue,cpu_to_ready,11,CPU0,"['23', '27', '11', '24', '21', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '26', '19', '17', '5']",[],[None],"['1', '3', '16']"
51,23 dispatched to CPU0,dispatch_cpu,23,CPU0,"['27', '11', '24', '21', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '26', '19', '17', '5']",[],['23'],"['1', '3', '16']"
52,28 added to ready queue,enqueue,28,,"['28', '27', '11', '24', '21', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '26', '19', '17', '5']",[],['23'],"['1', '3', '16']"
52,1 finished I/O → ready queue,io_to_ready,1,IO0,"['28', '27', '11', '24', '21', '13', '2', '8', '15', '9', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '1', '26', '19', '17', '5']",[],['23'],"[None, '3', '16']"
53,29 added to ready queue,enqueue,29,,"['28', '27', '11', '24', '21', '13', '2', '8', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '1', '26', '19', '17', '5']",[],['23'],"[None, '3', '16']"
53,23 finished CPU → wait queue,cpu_to_io,23,CPU0,"['28', '27', '11', '24', '21', '13', '2', '8', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '1', '26', '19', '17', '5']",['23'],[None],"[None, '3', '16']"
53,28 dispatched to CPU0,dispatch_cpu,28,CPU0,"['27', '11', '24', '21', '13', '2', '8', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '1', '26', '19', '17', '5']",['23'],['28'],"[None, '3', '16']"
53,23 dispatched to IO0,dispatch_io,23,IO0,"['27', '11', '24', '21', '13', '2', '8', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '1', '26', '19', '17', '5']",[],['28'],"['23', '3', '16']"
54,30 added to ready queue,enqueue,30,,"['27', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '1', '26', '19', '17', '5']",[],['28'],"['23', '3', '16']"
54,31 added to ready queue,enqueue,31,,"['31', '27', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '1', '26', '19', '17', '5']",[],['28'],"['23', '3', '16']"
54,32 added to ready queue,enqueue,32,,"['31', '27', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '1', '26', '19', '17', '5']",[],['28'],"['23', '3', '16']"
55,33 added to ready queue,enqueue,33,,"['31', '27', '33', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '1', '26', '19', '17', '5']",[],['28'],"['23', '3', '16']"
55,34 added to ready queue,enqueue,34,,"['31', '34', '27', '33', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '1', '26', '19', '17', '5']",[],['28'],"['23', '3', '16']"
55,35 added to ready queue,enqueue,35,,"['31', '34', '27', '33', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '35', '25', '20', '1', '26', '19', '17', '5']",[],['28'],"['23', '3', '16']"
56,36 added to ready queue,enqueue,36,,"['31', '34', '27', '33', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '35', '25', '20', '36', '1', '26', '19', '17', '5']",[],['28'],"['23', '3', '16']"
56,37 added to ready queue,enqueue,37,,"['31', '37', '34', '27', '33', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '35', '25', '20', '36', '1', '26', '19', '17', '5']",[],['28'],"['23', '3', '16']"
56,28 finished CPU → wait queue,cpu_to_io,28,CPU0,"['31', '37', '34', '27', '33', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '35', '25', '20', '36', '1', '26', '19', '17', '5']",['28'],[None],"['23', '3', '16']"
