time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
0,1 added to ready queue,enqueue,1,,['1'],[],"[None, None, None]","[None, None, None]"
0,2 added to ready queue,enqueue,2,,"['1', '2']",[],"[None, None, None]","[None, None, None]"
0,3 added to ready queue,enqueue,3,,"['1', '2', '3']",[],"[None, None, None]","[None, None, None]"
0,4 added to ready queue,enqueue,4,,"['1', '2', '3', '4']",[],"[None, None, None]","[None, None, None]"
0,5 added to ready queue,enqueue,5,,"['1', '2', '3', '4', '5']",[],"[None, None, None]","[None, None, None]"
0,6 added to ready queue,enqueue,6,,"['1', '2', '3', '4', '5', '6']",[],"[None, None, None]","[None, None, None]"
0,7 added to ready queue,enqueue,7,,"['1', '2', '3', '4', '5', '6', '7']",[],"[None, None, None]","[None, None, None]"
0,8 added to ready queue,enqueue,8,,"['1', '2', '3', '4', '5', '6', '7', '8']",[],"[None, None, None]","[None, None, None]"
0,9 added to ready queue,enqueue,9,,"['1', '2', '3', '4', '5', '6', '7', '8', '9']",[],"[None, None, None]","[None, None, None]"
0,10 added to ready queue,enqueue,10,,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",[],"[None, None, None]","[None, None, None]"
0,1 dispatched to CPU0,dispatch_cpu,1,CPU0,"['2', '3', '4', '5', '6', '7', '8', '9', '10']",[],"['1', None, None]","[None, None, None]"
0,2 dispatched to CPU1,dispatch_cpu,2,CPU1,"['3', '4', '5', '6', '7', '8', '9', '10']",[],"['1', '2', None]","[None, None, None]"
0,3 dispatched to CPU2,dispatch_cpu,3,CPU2,"['4', '5', '6', '7', '8', '9', '10']",[],"['1', '2', '3']","[None, None, None]"
2,2 finished CPU → wait queue,cpu_to_io,2,CPU1,"['4', '5', '6', '7', '8', '9', '10']",['2'],"['1', None, '3']","[None, None, None]"
2,4 dispatched to CPU1,dispatch_cpu,4,CPU1,"['5', '6', '7', '8', '9', '10']",['2'],"['1', '4', '3']","[None, None, None]"
2,2 dispatched to IO0,dispatch_io,2,IO0,"['5', '6', '7', '8', '9', '10']",[],"['1', '4', '3']","['2', None, None]"
4,3 finished CPU → wait queue,cpu_to_io,3,CPU2,"['5', '6', '7', '8', '9', '10']",['3'],"['1', '4', None]","['2', None, None]"
4,5 dispatched to CPU2,dispatch_cpu,5,CPU2,"['6', '7', '8', '9', '10']",['3'],"['1', '4', '5']","['2', None, None]"
4,3 dispatched to IO1,dispatch_io,3,IO1,"['6', '7', '8', '9', '10']",[],"['1', '4', '5']","['2', '3', None]"
6,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,"['6', '7', '8', '9', '10', '1']",[],"[None, '4', '5']","['2', '3', None]"
6,6 dispatched to CPU0,dispatch_cpu,6,CPU0,"['7', '8', '9', '10', '1']",[],"['6', '4', '5']","['2', '3', None]"
7,5 finished CPU → wait queue,cpu_to_io,5,CPU2,"['7', '8', '9', '10', '1']",['5'],"['6', '4', None]","['2', '3', None]"
7,2 finished I/O → ready queue,io_to_ready,2,IO0,"['7', '8', '9', '10', '1', '2']",['5'],"['6', '4', None]","[None, '3', None]"
7,7 dispatched to CPU2,dispatch_cpu,7,CPU2,"['8', '9', '10', '1', '2']",['5'],"['6', '4', '7']","[None, '3', None]"
7,5 dispatched to IO0,dispatch_io,5,IO0,"['8', '9', '10', '1', '2']",[],"['6', '4', '7']","['5', '3', None]"
8,4 preempted (RR quantum expired),preempt_cpu,4,CPU1,"['8', '9', '10', '1', '2', '4']",[],"['6', None, '7']","['5', '3', None]"
8,3 finished I/O → ready queue,io_to_ready,3,IO1,"['8', '9', '10', '1', '2', '4', '3']",[],"['6', None, '7']","['5', None, None]"
8,8 dispatched to CPU1,dispatch_cpu,8,CPU1,"['9', '10', '1', '2', '4', '3']",[],"['6', '8', '7']","['5', None, None]"
10,5 finished I/O → ready queue,io_to_ready,5,IO0,"['9', '10', '1', '2', '4', '3', '5']",[],"['6', '8', '7']","[None, None, None]"
11,7 finished CPU → ready queue,cpu_to_ready,7,CPU2,"['9', '10', '1', '2', '4', '3', '5', '7']",[],"['6', '8', None]","[None, None, None]"
11,9 dispatched to CPU2,dispatch_cpu,9,CPU2,"['10', '1', '2', '4', '3', '5', '7']",[],"['6', '8', '9']","[None, None, None]"
12,6 preempted (RR quantum expired),preempt_cpu,6,CPU0,"['10', '1', '2', '4', '3', '5', '7', '6']",[],"[None, '8', '9']","[None, None, None]"
12,8 finished CPU → ready queue,cpu_to_ready,8,CPU1,"['10', '1', '2', '4', '3', '5', '7', '6', '8']",[],"[None, None, '9']","[None, None, None]"
12,10 dispatched to CPU0,dispatch_cpu,10,CPU0,"['1', '2', '4', '3', '5', '7', '6', '8']",[],"['10', None, '9']","[None, None, None]"
12,1 dispatched to CPU1,dispatch_cpu,1,CPU1,"['2', '4', '3', '5', '7', '6', '8']",[],"['10', '1', '9']","[None, None, None]"
15,10 finished CPU → ready queue,cpu_to_ready,10,CPU0,"['2', '4', '3', '5', '7', '6', '8', '10']",[],"[None, '1', '9']","[None, None, None]"
15,1 finished CPU → wait queue,cpu_to_io,1,CPU1,"['2', '4', '3', '5', '7', '6', '8', '10']",['1'],"[None, None, '9']","[None, None, None]"
15,9 finished CPU → ready queue,cpu_to_ready,9,CPU2,"['2', '4', '3', '5', '7', '6', '8', '10', '9']",['1'],"[None, None, None]","[None, None, None]"
15,2 dispatched to CPU0,dispatch_cpu,2,CPU0,"['4', '3', '5', '7', '6', '8', '10', '9']",['1'],"['2', None, None]","[None, None, None]"
15,4 dispatched to CPU1,dispatch_cpu,4,CPU1,"['3', '5', '7', '6', '8', '10', '9']",['1'],"['2', '4', None]","[None, None, None]"
15,3 dispatched to CPU2,dispatch_cpu,3,CPU2,"['5', '7', '6', '8', '10', '9']",['1'],"['2', '4', '3']","[None, None, None]"
15,1 dispatched to IO0,dispatch_io,1,IO0,"['5', '7', '6', '8', '10', '9']",[],"['2', '4', '3']","['1', None, None]"
17,2 finished CPU → wait queue,cpu_to_io,2,CPU0,"['5', '7', '6', '8', '10', '9']",['2'],"[None, '4', '3']","['1', None, None]"
17,4 finished CPU → wait queue,cpu_to_io,4,CPU1,"['5', '7', '6', '8', '10', '9']","['2', '4']","[None, None, '3']","['1', None, None]"
17,5 dispatched to CPU0,dispatch_cpu,5,CPU0,"['7', '6', '8', '10', '9']","['2', '4']","['5', None, '3']","['1', None, None]"
17,7 dispatched to CPU1,dispatch_cpu,7,CPU1,"['6', '8', '10', '9']","['2', '4']","['5', '7', '3']","['1', None, None]"
17,2 dispatched to IO1,dispatch_io,2,IO1,"['6', '8', '10', '9']",['4'],"['5', '7', '3']","['1', '2', None]"
17,4 dispatched to IO2,dispatch_io,4,IO2,"['6', '8', '10', '9']",[],"['5', '7', '3']","['1', '2', '4']"
18,3 finished CPU → wait queue,cpu_to_io,3,CPU2,"['6', '8', '10', '9']",['3'],"['5', '7', None]","['1', '2', '4']"
18,6 dispatched to CPU2,dispatch_cpu,6,CPU2,"['8', '10', '9']",['3'],"['5', '7', '6']","['1', '2', '4']"
21,5 finished CPU → wait queue,cpu_to_io,5,CPU0,"['8', '10', '9']","['3', '5']","[None, '7', '6']","['1', '2', '4']"
21,8 dispatched to CPU0,dispatch_cpu,8,CPU0,"['10', '9']","['3', '5']","['8', '7', '6']","['1', '2', '4']"
22,7 finished CPU → wait queue,cpu_to_io,7,CPU1,"['10', '9']","['3', '5', '7']","['8', None, '6']","['1', '2', '4']"
22,6 finished CPU → ready queue,cpu_to_ready,6,CPU2,"['10', '9', '6']","['3', '5', '7']","['8', None, None]","['1', '2', '4']"
22,2 finished I/O → ready queue,io_to_ready,2,IO1,"['10', '9', '6', '2']","['3', '5', '7']","['8', None, None]","['1', None, '4']"
22,10 dispatched to CPU1,dispatch_cpu,10,CPU1,"['9', '6', '2']","['3', '5', '7']","['8', '10', None]","['1', None, '4']"
22,9 dispatched to CPU2,dispatch_cpu,9,CPU2,"['6', '2']","['3', '5', '7']","['8', '10', '9']","['1', None, '4']"
22,3 dispatched to IO1,dispatch_io,3,IO1,"['6', '2']","['5', '7']","['8', '10', '9']","['1', '3', '4']"
23,8 finished CPU → wait queue,cpu_to_io,8,CPU0,"['6', '2']","['5', '7', '8']","[None, '10', '9']","['1', '3', '4']"
23,6 dispatched to CPU0,dispatch_cpu,6,CPU0,['2'],"['5', '7', '8']","['6', '10', '9']","['1', '3', '4']"
