time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
0,1 added to ready queue,enqueue,1,,['1'],[],[None],[None]
0,2 added to ready queue,enqueue,2,,"['1', '2']",[],[None],[None]
0,3 added to ready queue,enqueue,3,,"['1', '2', '3']",[],[None],[None]
0,4 added to ready queue,enqueue,4,,"['1', '2', '3', '4']",[],[None],[None]
0,5 added to ready queue,enqueue,5,,"['1', '2', '3', '4', '5']",[],[None],[None]
0,6 added to ready queue,enqueue,6,,"['1', '2', '3', '4', '5', '6']",[],[None],[None]
0,7 added to ready queue,enqueue,7,,"['1', '2', '3', '4', '5', '6', '7']",[],[None],[None]
0,8 added to ready queue,enqueue,8,,"['1', '2', '3', '4', '5', '6', '7', '8']",[],[None],[None]
0,9 added to ready queue,enqueue,9,,"['1', '2', '3', '4', '5', '6', '7', '8', '9']",[],[None],[None]
0,10 added to ready queue,enqueue,10,,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",[],[None],[None]
0,1 dispatched to CPU0,dispatch_cpu,1,CPU0,"['2', '3', '4', '5', '6', '7', '8', '9', '10']",[],['1'],[None]
4,1 finished CPU → wait queue,cpu_to_io,1,CPU0,"['2', '3', '4', '5', '6', '7', '8', '9', '10']",['1'],[None],[None]
4,2 dispatched to CPU0,dispatch_cpu,2,CPU0,"['3', '4', '5', '6', '7', '8', '9', '10']",['1'],['2'],[None]
4,1 dispatched to IO0,dispatch_io,1,IO0,"['3', '4', '5', '6', '7', '8', '9', '10']",[],['2'],['1']
9,1 finished I/O → ready queue,io_to_ready,1,IO0,"['3', '4', '5', '6', '7', '8', '9', '10', '1']",[],['2'],[None]
11,2 finished CPU → ready queue,cpu_to_ready,2,CPU0,"['3', '4', '5', '6', '7', '8', '9', '10', '1', '2']",[],[None],[None]
11,3 dispatched to CPU0,dispatch_cpu,3,CPU0,"['4', '5', '6', '7', '8', '9', '10', '1', '2']",[],['3'],[None]
14,3 finished CPU → wait queue,cpu_to_io,3,CPU0,"['4', '5', '6', '7', '8', '9', '10', '1', '2']",['3'],[None],[None]
14,4 dispatched to CPU0,dispatch_cpu,4,CPU0,"['5', '6', '7', '8', '9', '10', '1', '2']",['3'],['4'],[None]
14,3 dispatched to IO0,dispatch_io,3,IO0,"['5', '6', '7', '8', '9', '10', '1', '2']",[],['4'],['3']
17,3 finished I/O → ready queue,io_to_ready,3,IO0,"['5', '6', '7', '8', '9', '10', '1', '2', '3']",[],['4'],[None]
18,4 finished CPU → wait queue,cpu_to_io,4,CPU0,"['5', '6', '7', '8', '9', '10', '1', '2', '3']",['4'],[None],[None]
18,5 dispatched to CPU0,dispatch_cpu,5,CPU0,"['6', '7', '8', '9', '10', '1', '2', '3']",['4'],['5'],[None]
18,4 dispatched to IO0,dispatch_io,4,IO0,"['6', '7', '8', '9', '10', '1', '2', '3']",[],['5'],['4']
