time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
0,1 added to ready queue,enqueue,1,,['1'],[],[None],"[None, None]"
0,2 added to ready queue,enqueue,2,,"['1', '2']",[],[None],"[None, None]"
0,3 added to ready queue,enqueue,3,,"['1', '2', '3']",[],[None],"[None, None]"
0,4 added to ready queue,enqueue,4,,"['1', '2', '3', '4']",[],[None],"[None, None]"
0,5 added to ready queue,enqueue,5,,"['1', '5', '2', '3', '4']",[],[None],"[None, None]"
0,6 added to ready queue,enqueue,6,,"['6', '1', '5', '2', '3', '4']",[],[None],"[None, None]"
0,7 added to ready queue,enqueue,7,,"['6', '1', '5', '7', '2', '3', '4']",[],[None],"[None, None]"
0,8 added to ready queue,enqueue,8,,"['6', '1', '5', '7', '8', '2', '3', '4']",[],[None],"[None, None]"
0,9 added to ready queue,enqueue,9,,"['6', '9', '1', '5', '7', '8', '2', '3', '4']",[],[None],"[None, None]"
0,10 added to ready queue,enqueue,10,,"['6', '9', '10', '1', '5', '7', '8', '2', '3', '4']",[],[None],"[None, None]"
0,11 added to ready queue,enqueue,11,,"['6', '9', '10', '1', '5', '7', '8', '2', '3', '4', '11']",[],[None],"[None, None]"
0,12 added to ready queue,enqueue,12,,"['12', '6', '9', '10', '1', '5', '7', '8', '2', '3', '4', '11']",[],[None],"[None, None]"
0,13 added to ready queue,enqueue,13,,"['12', '6', '9', '10', '1', '5', '7', '8', '2', '13', '3', '4', '11']",[],[None],"[None, None]"
0,14 added to ready queue,enqueue,14,,"['12', '6', '9', '10', '1', '5', '7', '8', '2', '13', '3', '4', '14', '11']",[],[None],"[None, None]"
0,15 added to ready queue,enqueue,15,,"['12', '6', '9', '10', '1', '15', '5', '7', '8', '2', '13', '3', '4', '14', '11']",[],[None],"[None, None]"
0,16 added to ready queue,enqueue,16,,"['12', '6', '9', '10', '1', '15', '5', '7', '8', '2', '13', '16', '3', '4', '14', '11']",[],[None],"[None, None]"
0,17 added to ready queue,enqueue,17,,"['12', '6', '9', '10', '17', '1', '15', '5', '7', '8', '2', '13', '16', '3', '4', '14', '11']",[],[None],"[None, None]"
0,18 added to ready queue,enqueue,18,,"['12', '6', '9', '10', '17', '1', '15', '5', '7', '8', '18', '2', '13', '16', '3', '4', '14', '11']",[],[None],"[None, None]"
0,19 added to ready queue,enqueue,19,,"['12', '6', '9', '10', '17', '19', '1', '15', '5', '7', '8', '18', '2', '13', '16', '3', '4', '14', '11']",[],[None],"[None, None]"
0,20 added to ready queue,enqueue,20,,"['12', '6', '9', '10', '17', '19', '1', '15', '20', '5', '7', '8', '18', '2', '13', '16', '3', '4', '14', '11']",[],[None],"[None, None]"
0,21 added to ready queue,enqueue,21,,"['12', '6', '9', '10', '17', '19', '1', '15', '20', '5', '7', '8', '18', '2', '21', '13', '16', '3', '4', '14', '11']",[],[None],"[None, None]"
0,22 added to ready queue,enqueue,22,,"['12', '6', '9', '10', '17', '19', '1', '15', '20', '22', '5', '7', '8', '18', '2', '21', '13', '16', '3', '4', '14', '11']",[],[None],"[None, None]"
0,23 added to ready queue,enqueue,23,,"['12', '6', '9', '10', '17', '19', '1', '15', '20', '22', '5', '7', '8', '18', '2', '21', '23', '13', '16', '3', '4', '14', '11']",[],[None],"[None, None]"
0,24 added to ready queue,enqueue,24,,"['12', '6', '9', '10', '17', '19', '1', '15', '20', '22', '5', '7', '8', '18', '2', '21', '23', '13', '16', '3', '4', '14', '24', '11']",[],[None],"[None, None]"
0,25 added to ready queue,enqueue,25,,"['12', '6', '9', '10', '17', '19', '1', '15', '20', '22', '25', '5', '7', '8', '18', '2', '21', '23', '13', '16', '3', '4', '14', '24', '11']",[],[None],"[None, None]"
0,26 added to ready queue,enqueue,26,,"['12', '6', '9', '10', '17', '19', '1', '15', '20', '22', '25', '5', '7', '8', '18', '2', '21', '23', '26', '13', '16', '3', '4', '14', '24', '11']",[],[None],"[None, None]"
0,27 added to ready queue,enqueue,27,,"['12', '6', '9', '10', '17', '19', '1', '15', '20', '22', '25', '5', '7', '8', '18', '2', '21', '23', '26', '13', '16', '3', '4', '14', '24', '11', '27']",[],[None],"[None, None]"
0,28 added to ready queue,enqueue,28,,"['12', '28', '6', '9', '10', '17', '19', '1', '15', '20', '22', '25', '5', '7', '8', '18', '2', '21', '23', '26', '13', '16', '3', '4', '14', '24', '11', '27']",[],[None],"[None, None]"
0,29 added to ready queue,enqueue,29,,"['12', '28', '6', '9', '10', '17', '19', '1', '15', '20', '22', '25', '5', '7', '8', '18', '2', '21', '23', '26', '29', '13', '16', '3', '4', '14', '24', '11', '27']",[],[None],"[None, None]"
0,30 added to ready queue,enqueue,30,,"['12', '28', '30', '6', '9', '10', '17', '19', '1', '15', '20', '22', '25', '5', '7', '8', '18', '2', '21', '23', '26', '29', '13', '16', '3', '4', '14', '24', '11', '27']",[],[None],"[None, None]"
0,31 added to ready queue,enqueue,31,,"['12', '28', '30', '6', '9', '10', '17', '19', '31', '1', '15', '20', '22', '25', '5', '7', '8', '18', '2', '21', '23', '26', '29', '13', '16', '3', '4', '14', '24', '11', '27']",[],[None],"[None, None]"
0,32 added to ready queue,enqueue,32,,"['12', '28', '30', '6', '9', '10', '17', '19', '31', '1', '15', '20', '22', '25', '5', '7', '8', '18', '2', '21', '23', '26', '29', '32', '13', '16', '3', '4', '14', '24', '11', '27']",[],[None],"[None, None]"
0,33 added to ready queue,enqueue,33,,"['12', '28', '30', '33', '6', '9', '10', '17', '19', '31', '1', '15', '20', '22', '25', '5', '7', '8', '18', '2', '21', '23', '26', '29', '32', '13', '16', '3', '4', '14', '24', '11', '27']",[],[None],"[None, None]"
0,34 added to ready queue,enqueue,34,,"['12', '28', '30', '33', '34', '6', '9', '10', '17', '19', '31', '1', '15', '20', '22', '25', '5', '7', '8', '18', '2', '21', '23', '26', '29', '32', '13', '16', '3', '4', '14', '24', '11', '27']",[],[None],"[None, None]"
0,35 added to ready queue,enqueue,35,,"['12', '28', '30', '33', '34', '6', '9', '10', '17', '19', '31', '1', '15', '20', '22', '25', '5', '7', '8', '18', '2', '21', '23', '26', '29', '32', '13', '16', '3', '4', '14', '24', '11', '35', '27']",[],[None],"[None, None]"
0,36 added to ready queue,enqueue,36,,"['12', '28', '30', '33', '34', '6', '9', '10', '17', '19', '31', '1', '15', '20', '22', '25', '36', '5', '7', '8', '18', '2', '21', '23', '26', '29', '32', '13', '16', '3', '4', '14', '24', '11', '35', '27']",[],[None],"[None, None]"
0,37 added to ready queue,enqueue,37,,"['12', '28', '30', '33', '34', '6', '9', '10', '17', '19', '31', '1', '15', '20', '22', '25', '36', '5', '7', '8', '18', '2', '21', '23', '26', '29', '32', '13', '16', '3', '4', '14', '24', '11', '35', '27', '37']",[],[None],"[None, None]"
